model_name,pos,index,real_class,pred_class,text
4_model_09_01_2024-01_33,0,0,0,0,estagiario flagrado vivo assistindo filminho adulto durante apresentacao telejornal telespectadores assistiam noticiario bbc transmitido ultima segundafeira ficaram queixo caido quase h noite ancora sophie raworth falava sobre vitoria equipe britanica cricket sobre africa sul detalhe inusitado conseguiu chamar atencao propria noticia sendo transmitida atras apresentadora havia estagiario distraido brincando computador assistia filminho sacanagem resultado tudo transmitido vivo nao poderia acabar modo diferente estagiario afastado temporariamente funcoes
4_model_09_01_2024-01_33,1,1,0,0,marqueteiro pt inquieto cadeia grita dia noite diz nao vai poupar ninguem informacoes republica curitiba dao conta marqueteiro pt falando cotovelos dentro cadeia fonte disse joao santana ansioso tenso decidiu nao quer passar resto dias cadeia santana desde data prisao calado resolveu ira botar boca trombone defesa publicitario ja negociando possivel acordo equipe investigacao pf sera interrogado juiz sergio moro proxima quintafeira reu acao penal decorrente fase operacao lava jato santana cuidou publicidade durante campanha reeleicao expresidente luiz inacio lula silva duas campanhas presidente dilma rousseff investigacao aponta repasses exterior us milhoes odebrecht casal joao monica santana
4_model_09_01_2024-01_33,2,2,0,0,ha anos ernesto geisel avisou chegara tempo povo sentira saudades militares geisel presidente brasil durante regime militar brasileiro profetizou vontade povo brasileiro promoverei abertura politica brasil chegara tempo povo sentira saudade regime militar pois muitos desses lideram fim regime nao estao visando bem povo sim proprios interesses sera razao
4_model_09_01_2024-01_33,3,3,0,0,campo petroleo africa deu prejuizo r bilhoes petrobras muita propina rombo alcanca r bilhoes petrobras informou contratos firmados base expectativas lucro porem contrariaram pareceres tecnicos nao aconselhavam negocio muita propina campo petroleo benin africa negocio petroleo normal voce perfurar alguns pocos secos petrobras aconteceu juncao ineficiencia administrativa corrupcao declarou procurador mpf diogo castor mattos forcatarefa lava jato area international petrobras responsavel negocio comandada pmdb diretores estatal nestor cervero jorge zelada ambos condenados recebimento propinas cervero confirmou delacao cupula pmdb leiase cunha renan calheiros beneficiados negam acusacoes milhoes dolares propinas campo petroleo benin rendeu propina gorda us milhoes ate momento apenas parte recebida deputado eduardo cunha descoberta
4_model_09_01_2024-01_33,4,4,0,0,pai perdeu gemeos meses esposa familiares ataque quimico siria clama ajuda eua
4_model_09_01_2024-01_33,5,5,0,1,maneiras positivas superar medo morte neste ponto devemos olhar tras contar bencaos vitorias criamos comunidade amigos parentes colegas estendem ha decadas maioria vive entusiasmada muitas decadas vida ainda podemos ter decadas queremos preencher paixoes pessoas lugares interessam chegamos casa enta comum comecar preocupar mortalidade muitos comecamos pensar sobre fato menos anos frente anos tras diversas pessoas medo morte nao importa quao longe possa abaixo estao algumas dicas base conselho outras pessoas anos superaram medo morrer gaste tempo pessoas voce gosta perto tente coisas novas desafiese principalmente mantenhase ativo comprometido atividades positivas algo realmente desafie faca algo sobre voce negocios inacabados resolvaos voce alguem precisa falar faca ligacao nao continue indo trabalho profundamente insatisfeito fique relacionamento deixa infeliz voce muitos anos aproveitar tudo vida oferecer medo morte muitas vezes medo nao viver acordo proprios principios voce merece ver sonhos tornarem realidade quanto abracar vida menos assustado voce ficara chegar hora ajuda reconhecer parte ciclo evolutivo podemos encontrar conforto fato todos outros tambem deverao passar mesmos limiares concepcao nascimento morte pesquisador norman van rooy beira morte disse vez nao escolha senao rendermos desconhecido voce deve dar contribuicao mundo bencao privilegio viver entao vamos gratos aceitar morte finalmente chegar muitos escritores compartilharam proprias reflexoes sobre assunto morte alem disso lideres religiosos filosofos misticos construiram magnifica biblioteca sobre tema vida apos morte obras nao podem dizer acontecera voce morrer podem ajudalo abordar questoes igualmente importantes razao estarmos aqui devemos preparar vida apos morte voce religioso nao rituais sao importantes criar sentido significado vida tambem dao continuidade existencia ritual simples fazer caminhada todas tardes acender vela todas manhas faca oracao agradecimento olhe ceu simplesmente diga obrigado dia certeza pequenas mudancas farao voce sinta algo emocional fisico transformando vida escolha somente voce curiosidade sobre novas praticas religiosas quer explorar novas ideias espirituais agora hora nao medo fazer perguntas dificeis explorar novo sao unicas questoes irao guiar compreensao profunda fe qualquer outro aspecto vida ha muitas coisas simples voce pode fazer viver vida saudavel positiva verdade menores etapas aplicadas constantemente levam maiores mudancas faca compromisso caminhar todos dias faca sol faca chuva adote cao ande bicicleta contemple natureza leia livro enfim voce devera procurar sozinho mudanca fara diferenca vida explore paixoes escreva lista todas coisas incriveis voce deseja fazer antes morrer voce ocupado vivendo nao tera tempo preocupar morte agora voce ocupado viu so muitas questoes sobre morrer sao naturezas religiosa filosofica preocupacoes praticas muitos preocupamos morte porque perguntamos acontecera familia gente netos serao felizes sera esposa podera recuperar passagem caso afirmativo terao dinheiro suficiente continuar viver tipo vida merecem todas sao perguntas validas boa noticia enquanto nao podemos controlar deixaremos mundo podemos controlar acontece nesse exato minuto muitas pessoas sentem alivio conseguem colocar pendencias ordem pessoais profissionais muitas decadas vida saudavel frente conselho outras pessoas anos conquistaram medo morte simples concentrese viver autenticamente apaixonadamente agora medo morte nao pode enraizar coracao pessoa verdadeiramente satisfeita vida
4_model_09_01_2024-01_33,6,6,0,1,bolsonaro pode preso declaracoes polemicas deputado federal jair bolsonaro pscrj disse filha porque fraquejou quilombolas nao serviam procriar erro ditadura nao matar dissidentes declaracoes gerou desconforto varios grupos sociais so minoria frases acusam discriminatorias preconceituosas pode enquadrada crime ainda assim depende interpretacao justica folha ouviu advogados criminalistas fabio olivetti lins silva leonardo sakamoto beltrao saber deputado jair messias bolsonaro corre risco real preso deputado imunidade parlamentar garante nao punido opinioes palavras votos acordo artigo constituicao federal advogado fabio olivetti lins silva bolsonaro nao pode acusado criminalmente frases alem disso muitas colocacoes sao expressao opiniao assegurado constituicao linha tenue inteligente caminha limite imunidade permite nao permite diz advogado criminalista leonardo sakamoto beltrao confira seguir algumas dessas frases interpretacoes juridicas idiota analfabeta ta censurada ha tres anos durante entrevista bolsonaro irritouse jornalista dirigiu palavras advogado fabio olivetti lins silva explica constituicao nao preve punicao discriminacao genero erro ditadura torturar nao matar passagem servico militar bolsonaro ja faz declaracoes favoraveis ditadura segundo especialistas opinioes nao podem consideradas condutas criminosas pode crime incitacao violencia pratica tortura dias atuais memoria coronel carlos alberto brilhante ustra durante votacao abertura processo impeachment dilma rousseff homenageou coronel ustra torturador ditadura militar codigo penal diz crime fazer publicamente apologia autor crime poderia caso pena detencao multa porem ustra nunca condenado formalmente tortura razao lei anistia nenhum pai orgulho ter filho gay tal afirmacao dita entrevista apresentador ingles stephen fry nao pode usada incriminalo entanto advogado leonardo sakamoto beltrao explica brasil ha enorme confusao juridica sobre livre expressao opiniao discriminacao afirmativa deputado retratava questao foro intimo pessoalmente nao orgulho nao disse todo pai homossexual nao deva ter orgulho concluise entao ate presente momento nao existem evidencias juridicas coloquem mandato eou liberdade deputado federal jair messias bolsonaro risco
4_model_09_01_2024-01_33,7,7,0,1,ciro gomes ataca bolsonaro doria dilma lula ciro gomes deu entrevista bombastica dentre precandidatos presidencia brasil eleicoes nao poupou nenhum principais concorrentes mostrou debates sera provocativos presidenciaveis precandidato presidencia ciro gomes pdtce entrevistado nesta quartafeira programa panico radio jovem pan nao poupou criticas tres possiveis concorrentes eleicoes luiz inacio lula silva pt jair bolsonaro psc joao doria psdb alem expresidente dilma rouseff pt inicio entrevista hora duracao presidenciavel defende fim polarizacao brasileiros problemas possam superados brasil nao pode cair esparrela aceitar falsa divisao coxinha mortadela discutir futuro gente transformar embate hoje nesse odio paixao redor lula brasil nao sai onde questionado integrantes bancada sobre ovada recebida prefeito sao paulo joao doria psdb durante visita salvador segundafeira ciro disse atitude manifestante nao normal civilizada aproveitou criticar paulista doria posicao prefeito sao paulo aperfeicoa tragedia brasileira porque politico nao nada cabeca le pesquisa assessoria marquetagem comercial marqueteiro dizendo ta todo mundo puto politicos entao naopolitico todo mundo quer alguem resolva problemas entao gestor ta todo mundo zangadissimo esculhambacao generalizouse pt entao antipt antilula grosseiro nao resolve nada dilma ciro afirmou ter considerado processo impeachment golpe nao quer dizer aprovasse governo petista falar mal governo dilma coisa quase covarde porque governo desastrado corrupta nao tanto sequer acusada golpe porque governo corrupto voce provar funcionalmente crime responsabilidade dolosamente cometido titular nao aconteceu vou presidente brasil ninguem vai derrubar protocolos formais dilma deixou imolar porque nao ramo lula durante brincadeira integrantes programa sobre melhor escolha caso segundo turno lula bolsonaro ciro respondeu tapo nariz voto lula outro momento entrevista diz lula entregou furnas exdeputado federal eduardo cunha pmdbrj razao popularidade brincou deus escolher michel temer pmdb vice dilma rousseff chapa presidencial bolsonaro embora ciro reforcado longo entrevista respeita boa relacao jair bolsonaro diz considerar deputado personagem opiniao prestando bom servico pais neste momento destruindo fraude psdb representa tirou todo eleitorado direita reativo xenofobo racista elitista etc existe pais votava escondido armario psdb entao prejuizo causando psdb mortal problema psdb ciro entanto antes ter pretensao chegar palacio planalto bolsonaro deveria tentar prefeito rio experiencia popularidade deve fato ter respostas duas grandes questoes brasileiros ainda toscamente corrupcao violencia cara chega ali presidencia republica deixando povo acreditar falando bandido bom bandido morto ladroeira vai acabar porque governo nao mentira despreparo
4_model_09_01_2024-01_33,8,8,0,1,history channel hitler forjou propria morte fugiu argentina documentos comprovavam adolf hitler eva braun fugiram argentina submarino fbi revelou governo eua sabia adolf hitler vivo morando cordilheira andes tempo fim segunda guerra mundial history channel ultimos anos mundo levado acreditar hitler morrido abril suicidar bunker subterraneo acordo historia oficial corpo descoberto identificado sovieticos transportado russia russos mentiram divulgacao desses documentos fbi certamente parece lider notorio historia mundial escapou alemanha desfrutar vida pacifica alto cordilheira andes america sul recentemente foto abaixo postada redes sociais sugerindo suposto hitler idoso anos posando namorada brasil recemlancados arquivos fbi afirmam adolf hitler escapou atraves submarino destino argentina onde permaneceu rancho fortemente protegido sofrendo asma ulceras documentos divulgados mostram nao so suicidio hitler eva braun falsificado casal tambem ajuda diretor oss servico estrategico alemnha allen dulles possibilitar fuga documentos liberados revelase fbi ciente misterioso submarino alemao navegava rumo costa argentina misterioso informante carta los angeles bureau fbi datada agosto informante nao identificado concordou trocar informacoes asilo politico disse agentes impressionante nao so sabia hitler argentina tambem quatro homens confirmados conheciam submarino alemao aparentemente dois submarinos haviam chegado costa argentina hitler eva braun bordo segundo governo argentino nao so acolheu ditador alemao tambem ajudou esconder informante passou entao dar instrucoes detalhadas detalhes fisicos crediveis sobre hitler evidencias sao encontradas juntamente documentos fbi novas evidencias apareceram provar adolf hitler eva braun nao morreram naquele bunker marinha americana aguas argentinas informou washington havia alta probabilidade hitler eva braun acabado chegar bordo sub u porem fato ignorado alto comando norteamericano prova adicional veio forma artigos jornal detalhando construcao mansao estilo bavaro pe cordilheira andes arquiteto alejandro bustillo relatou contratado fazer design construcao nova casa hitler sido financiada imigrantes alemaes ricos evidencia irrefutavel hitler escapou talvez evidencia condenatoria hitler sobrevivido queda alemanha reside russia ocupacao sovietica alemanha supostos restos hitler rapidamente escondidos enviados russia nunca serem vistos novamente nicholas bellatoni arqueologo estado connecticutusa autorizado realizar testes dna fragmentos cranio recuperado descobriu desencadeou reacao atraves servicos inteligencia comunidades academicas dna cranio nao combinava amostras hitler tao pouco amostras eva braun companheira ditador entao questao passou nao cranio hitler provas sovieticos recolheram bunker jornal stars and stripes citou general americano eisenhower acreditava possibilidade real hitler vivendo seguranca comodidade argentina documentos liberados fbi provam governo americano nao so sabia presenca hitler argentina tambem ajudou encobrir fato hitler escapou argentina resposta sim fonte history channel traducao diario brasil
4_model_09_01_2024-01_33,9,9,0,1,relator cassacao cunha relata sofreu ameacas camara pede reforco seguranca familia deputado informacao anunciada nesta quintafeira presidente conselho deputado jose carlos araujo psdba relator processo cassacao deputado eduardo cunha pmdbrj conselho etica fausto pinato prbsp avisou conselho sofreu ameaca sao paulo estado origem perguntei alguem familia ultimos dias constrangimento ameaca disse sim afirmou sandro alex reabertura sessao conselho sandro solicitou camara providencie reforco seguranca pinato familia processo contra presidente camara conselho pode resultar cassacao mandato hoje cunha manobrou anular sessao analisava abertura processo contra situacao revoltou parlamentares provocou bateboca deputados cunha plenario informacoes sao portal brasil
